Day Index,Sessions
2016-08-27,520
2016-08-28,621
2016-08-29,1890
2016-08-30,1786
2016-08-31,1369
2016-09-01,1812
2016-09-02,1378
2016-09-03,622
2016-09-04,703
2016-09-05,1032
2016-09-06,1657
2016-09-07,1497
2016-09-08,1791
2016-09-09,1365
2016-09-10,670
2016-09-11,717
2016-09-12,2087
2016-09-13,1663
2016-09-14,1254
2016-09-15,1325
2016-09-16,1096
2016-09-17,608
2016-09-18,671
2016-09-19,1207
2016-09-20,1321
2016-09-21,1380
2016-09-22,1240
2016-09-23,1087
2016-09-24,554
2016-09-25,633
2016-09-26,1362
2016-09-27,1274
2016-09-28,1293
2016-09-29,1215
2016-09-30,1135
2016-10-01,622
2016-10-02,561
2016-10-03,1251
2016-10-04,1353
2016-10-05,1293
2016-10-06,1303
2016-10-07,1163
2016-10-08,614
2016-10-09,701
2016-10-10,1202
2016-10-11,1283
2016-10-12,1304
2016-10-13,1315
2016-10-14,1165
2016-10-15,649
2016-10-16,701
2016-10-17,1418
2016-10-18,1424
2016-10-19,1325
2016-10-20,1241
2016-10-21,1148
2016-10-22,591
2016-10-23,709
2016-10-24,1338
2016-10-25,1472
2016-10-26,1259
2016-10-27,1335
2016-10-28,1021
2016-10-29,621
2016-10-30,718
2016-10-31,1291
2016-11-01,1219
2016-11-02,1320
2016-11-03,1268
2016-11-04,1100
2016-11-05,652
2016-11-06,806
2016-11-07,1311
2016-11-08,1246
2016-11-09,1604
2016-11-10,1574
2016-11-11,1196
2016-11-12,670
2016-11-13,796
2016-11-14,1369
2016-11-15,1360
2016-11-16,1326
2016-11-17,1390
2016-11-18,1246
2016-11-19,669
2016-11-20,819
2016-11-21,2167
2016-11-22,1846
2016-11-23,1612
2016-11-24,1731
2016-11-25,1386
2016-11-26,777
2016-11-27,905
2016-11-28,1903
2016-11-29,1920
2016-11-30,1890
2016-12-01,1834
2016-12-02,1572
2016-12-03,738
2016-12-04,790
2016-12-05,1560
2016-12-06,1678
2016-12-07,1392
2016-12-08,1413
2016-12-09,1231
2016-12-10,701
2016-12-11,797
2016-12-12,1382
2016-12-13,1595
2016-12-14,1577
2016-12-15,1408
2016-12-16,1157
2016-12-17,704
2016-12-18,782
2016-12-19,3198
2016-12-20,2229
2016-12-21,1341
2016-12-22,1470
2016-12-23,1046
2016-12-24,547
2016-12-25,552
2016-12-26,836
2016-12-27,1034
2016-12-28,1062
2016-12-29,1003
2016-12-30,765
2016-12-31,420
2017-01-01,518
2017-01-02,830
2017-01-03,1262
2017-01-04,1282
2017-01-05,1362
2017-01-06,1154
2017-01-07,793
2017-01-08,888
2017-01-09,1339
2017-01-10,1335
2017-01-11,1425
2017-01-12,1370
2017-01-13,1161
2017-01-14,643
2017-01-15,729
2017-01-16,1315
2017-01-17,1506
2017-01-18,1470
2017-01-19,1473
2017-01-20,1214
2017-01-21,671
2017-01-22,786
2017-01-23,1405
2017-01-24,1529
2017-01-25,1401
2017-01-26,1318
2017-01-27,1130
2017-01-28,665
2017-01-29,744
2017-01-30,1435
2017-01-31,1421
2017-02-01,1506
2017-02-02,1526
2017-02-03,1347
2017-02-04,757
2017-02-05,832
2017-02-06,1981
2017-02-07,2026
2017-02-08,2196
2017-02-09,2095
2017-02-10,1775
2017-02-11,924
2017-02-12,1074
2017-02-13,1934
2017-02-14,1803
2017-02-15,1769
2017-02-16,1892
2017-02-17,1608
2017-02-18,990
2017-02-19,1068
2017-02-20,1760
2017-02-21,2580
2017-02-22,2242
2017-02-23,2237
2017-02-24,1749
2017-02-25,996
2017-02-26,1274
2017-02-27,2131
2017-02-28,1701
2017-03-01,1914
2017-03-02,1912
2017-03-03,1626
